game_id,platform
1422080,Steam
1422130,Steam
1422180,Steam
1422190,Steam
1422200,Steam
2540040,Steam
1422210,Steam
1422220,Steam
1422240,Steam
1422260,Steam
1422270,Steam
1422280,Steam
1422290,Steam
1421900,Steam
1421760,Steam
1421790,Steam
1421310,Steam
1421320,Steam
1421350,Steam
1421390,Steam
1421410,Steam
1421490,Steam
1421600,Steam
1421610,Steam
1421630,Steam
1421690,Steam
1421700,Steam
1421710,Steam
1420830,Steam
1420850,Steam
1420860,Steam
1420890,Steam
1420930,Steam
1367110,Steam
1420950,Steam
1420960,Steam
1420970,Steam
1420980,Steam
1420990,Steam
1421020,Steam
1421100,Steam
1421120,Steam
1421140,Steam
1421200,Steam
1420400,Steam
1420510,Steam
1420540,Steam
1420580,Steam
1420640,Steam
1420650,Steam
1420680,Steam
1420720,Steam
1420730,Steam
1420740,Steam
1420770,Steam
1420780,Steam
1420810,Steam
1419980,Steam
1420050,Steam
1420060,Steam
1420080,Steam
1420160,Steam
1420180,Steam
1420320,Steam
1420330,Steam
1419480,Steam
1419510,Steam
1419580,Steam
1419620,Steam
1419670,Steam
1419680,Steam
1419730,Steam
1419740,Steam
1419750,Steam
1419760,Steam
1419770,Steam
1419860,Steam
1419870,Steam
1419880,Steam
1418990,Steam
1419040,Steam
1419060,Steam
1419070,Steam
1419100,Steam
1419110,Steam
1419130,Steam
1419150,Steam
1419160,Steam
1419180,Steam
1419190,Steam
1419200,Steam
1418490,Steam
1419290,Steam
1419330,Steam
1419350,Steam
1419360,Steam
1419370,Steam
1419380,Steam
1419440,Steam
1418610,Steam
1418650,Steam
1418670,Steam
1418760,Steam
1418790,Steam
1418830,Steam
1418140,Steam
1418160,Steam
1418180,Steam
1418190,Steam
1418290,Steam
1418310,Steam
1418320,Steam
1418330,Steam
1418350,Steam
1418360,Steam
1418430,Steam
1418460,Steam
1418470,Steam
1418520,Steam
1418540,Steam
1418570,Steam
1417610,Steam
1417640,Steam
1417670,Steam
1417690,Steam
1417720,Steam
1417740,Steam
1417750,Steam
1417770,Steam
1417880,Steam
1417890,Steam
1417930,Steam
1417940,Steam
1417950,Steam
1417960,Steam
1417970,Steam
1418010,Steam
1418020,Steam
1418090,Steam
1417130,Steam
1417150,Steam
1417170,Steam
1417200,Steam
1417230,Steam
1417250,Steam
1417270,Steam
1417280,Steam
1417310,Steam
1417320,Steam
1417400,Steam
1417420,Steam
1417450,Steam
1417490,Steam
1417500,Steam
1417540,Steam
1417590,Steam
1416690,Steam
1416700,Steam
1416710,Steam
1416720,Steam
1416730,Steam
1416760,Steam
1416770,Steam
1416820,Steam
1416850,Steam
1416920,Steam
1416930,Steam
1416960,Steam
1416970,Steam
1416980,Steam
1417010,Steam
1417020,Steam
1417050,Steam
1417090,Steam
1416140,Steam
1416150,Steam
1416160,Steam
1416180,Steam
1416190,Steam
1416210,Steam
1416220,Steam
1416230,Steam
1416240,Steam
1416260,Steam
1416290,Steam
1416340,Steam
1416380,Steam
1416430,Steam
1416450,Steam
